"Title","Authors","Publish Date (Year)"
"The Civil War Trust's Official Guide to the Civil War Discovery Trail","By Braselton, Susan Collier (EDT), Civil War Trust (U. S.) (EDT), Andrews, Edgar M. (EDT), Birkhead, Paul J. (EDT), Fix, Julie K. (EDT), Gruber, Elliot H. (EDT), and McMahon, Danielle V. (EDT)","1996"
"Pilgrim: A Novel","By Findley, Timothy","2001"
"Soup Suppers: More Than 100 Main-Course Soups and 40 Accompaniments","By Schwartz, Arthur","1994"
"The Big Bands Trivia Quiz Book","By Simon, George","1985"
"The American Style of Foreign Policy: Cultural Politics and Foreign Affairs","By Dallek, Robert","1990"
"D.H. Lawrence: The Story of a Marriage","By Maddox, Brenda","1994"
"The Illustrated Almanac of Historical Facts: From the Dawn of the Christian Era to the New World Order","By Stewart, Robert","1994"
"Notable American Women: A Biographical Dictionary: Notable American Women: The Modern Period: A Biographical Dictionary (Notable American Women) (Volume 4)","By Sicherman, Barbara (EDT) and Green, Carol Hurd (EDT)","1986"
"Ashes of Glory: Richmond at War","By Furgurson, Ernest B.","1996"
"Orthopedic Disorders (Mosby's Clinical Nursing Series)","By Mourad, Leona A.","1991"
"God's Masterwork: A Concerto in Sixty-Six Movements : Ezra Through Daniel (Swindoll Bible Study Guides , Part 2)","By Swindoll, Charles R.","1997"
"In Buddha's Kitchen : Cooking, Being Cooked, and Other Adventures at a Meditation Center","By Snow, Kimberley","2003"
"Crossing Over: The Stories Behind the Stories","By Edward, John","2001"
"Business Law: Text and Cases","By Allison, John R., Howell, Rate A., and Prentice, Robert A.","1993"
"Sea Otters: A Natural History and Guide","By Nickerson, Roy","1989"
"Becoming satisfied: A man's guide to sexual fulfillment (A Spectrum book)","By Nowinski, Joseph","1980"
"Marketing","By Keegan, Warren J., Moriarty, Sandra, Duncan, Tom","1992"
"The New Yorker Cartoon Album 1975-1985","By The New Yorker","1987"
"We Are America","By Joy, Anna","1992"
"Dr. Nancy Snyderman's Guide to Health: For Women over Forty","By Blackstone, Margaret and Snyderman, Nancy L., M.D.","1996"
"Unravelling","By Graver, Elizabeth","1999"
"An Obedient Father","By Sharma, Akhil","2001"
"Like the Red Panda","By Seigel, Andrea","2004"
"East Asia: From Chinese Predominance to the Rise of the Pacific Rim","By Cotterell, Arthur","1995"
"Hamlet's Mother and Other Women","By Heilbrun, Carolyn G.","1990"
"The Book of Intimate Grammar","By Grossman, David and Rosenberg, Betsy (TRN)","1994"
"Sunset Recipe Annual 1995","By Sunset Books","1995"
"Ritalin Nation: Rapid-Fire Culture and the Transformation of Human Consciousness","By Degrandpre, Richard J.","1999"
"Ashes to Ashes: America's Hundred-Year Cigarette War, the Public Health, and the Unabashed Triumph of Philip Morris","By Kluger, Richard","1996"
"Recyclopedia: Games, Science Equipment, and Crafts from Recycled Materials","By Simons, Robin","1976"
"The Survival Factor","By Birkhead, Mike and Birkhead, Tim","1991"
"First and last love","By Sheean, Vincent","1956"
"Greek Mythology (An Encyclopedia Of Myth And Legend)","By Stoneman, Richard","1995"
"World of Our Fathers: The Journey of The Eastern European Jews to America","By Libo, Kenneth and Howe, Irving","1989"
"Dance Of A Fallen Monk: The Twists And Turns Of A Spiritual Life","By Fowler, George","1995"
"Intervention and Reflection: Basic Issues in Medical Ethics (Philosophy)","By Munson, Ronald and Hoffman, Christopher A.","1995"
"Politics of Latin American Development","By Wynia","1984"
